id,merchant,amount,date,category,type,recommendation
1000,Grocery Co,45.20,2022-01-05,Groceries,sustainable,Shop local and buy seasonal produce
1001,Fuel Station,62.10,2022-01-12,Transport,unsustainable,Consider carpooling or public transit
1002,Coffee House,4.75,2022-01-20,Food & Drink,neutral,Bring a reusable cup
1003,Grocery Co,38.00,2022-02-03,Groceries,sustainable,Choose bulk items to reduce packaging
1004,Fuel Station,58.50,2022-02-14,Transport,unsustainable,Combine errands to reduce trips
1005,Coffee House,5.00,2022-02-22,Food & Drink,neutral,Use a reusable cup
1006,Grocery Co,52.10,2022-03-06,Groceries,sustainable,Buy local to reduce transport emissions
1007,QuickFuel,70.00,2022-03-18,Transport,unsustainable,Check tire pressure to save fuel
1008,Bakery,8.25,2022-03-25,Food & Drink,neutral,Bring reusable bag
1009,Grocery Co,47.30,2022-04-02,Groceries,sustainable,Choose organic produce when possible
1010,Fuel Station,60.00,2022-04-12,Transport,unsustainable,Use public transit when available
1011,Coffee House,4.50,2022-04-20,Food & Drink,neutral,Refill your reusable cup
1012,Grocery Co,49.99,2022-05-05,Groceries,sustainable,Support farmers' markets
1013,Shell Gas,65.40,2022-05-15,Transport,unsustainable,Consider hybrid or EV for future vehicle purchases
1014,Cafe Corner,6.10,2022-05-23,Food & Drink,neutral,Bring a reusable cup
1015,Grocery Co,44.20,2022-06-04,Groceries,sustainable,Buy seasonal produce
1016,Fuel Station,59.90,2022-06-14,Transport,unsustainable,Try biking for short trips
1017,Tea Spot,3.95,2022-06-21,Food & Drink,neutral,Bring a travel mug
1018,Grocery Co,50.00,2022-07-02,Groceries,sustainable,Buy in bulk to reduce packaging
1019,QuickFuel,72.00,2022-07-16,Transport,unsustainable,Look into fuel-efficient routes
1020,Ice Cream Shop,7.50,2022-07-24,Food & Drink,neutral,Use reusable containers
1021,Grocery Co,46.75,2022-08-03,Groceries,sustainable,Choose local suppliers
1022,Fuel Station,61.20,2022-08-12,Transport,unsustainable,Combine errands into one trip
1023,Coffee House,4.65,2022-08-27,Food & Drink,neutral,Bring reusable cup
1024,Grocery Co,43.90,2022-09-04,Groceries,sustainable,Shop at farmer's markets
1025,Petrol One,68.80,2022-09-11,Transport,unsustainable,Consider public transit
